Date,Adj Close,Close,High,Low,Open,Volume
2023-02-21,91.84249878,95.09999847,97.625,94.69999695,96.5,27172700
2023-02-22,91.53346252,94.77999878,95.88999939,93.55500031,95.57499695,24484000
2023-02-23,90.93470764,94.16000366,100.4700012,92.12999725,100.0999985,40482900
2023-02-24,85.95145416,89,91.68000031,88.02999878,90.06999969,36174500
2023-02-27,86.19288635,89.25,91.23999786,88.89499664,90.84999847,25840000
2023-02-28,84.78289795,87.79000092,89.33999634,87.26999664,88.45999908,24597200
2023-03-01,86.86890411,89.94999695,92.91999817,89.73000336,92.91999817,35434900
2023-03-02,86.67575836,89.75,90.91899872,87.97000122,88.95999908,24829000
2023-03-03,86.62747192,89.69999695,90.45999908,88.40000153,90.11000061,25834300
2023-03-06,86.55021667,89.62000275,91.30000305,88.02999878,89.58499908,16983900
2023-03-07,85.69069672,88.73000336,90.05000305,88.19999695,89.51999664,14514700
2023-03-08,83.97166443,86.94999695,87.76999664,86.44999695,87.38999939,14721500
2023-03-09,80.51429749,83.37000275,85.69000244,82.875,85.12000275,24327700
2023-03-10,80.11833954,82.95999908,84.51999664,82.33000183,82.63999939,18123100
2023-03-13,80.06039429,82.90000153,83.75499725,81.97000122,83.01000214,17848300
2023-03-14,80.9778595,83.84999847,83.91000366,82.16000366,82.86000061,20126100
2023-03-15,78.71800995,81.51000214,82.54000092,80.15000153,81.55000305,21025300
2023-03-16,79.40368652,82.22000122,82.48000336,80.66000366,81.45999908,22877500
2023-03-17,78.87252808,81.66999817,84.16000366,80.62000275,84,23711100
2023-03-20,78.22547913,81,81.90000153,79.48000336,80.15000153,19536500
2023-03-21,80.83298492,83.69999695,84.08799744,82,82.45999908,16529400
2023-03-22,80.78470612,83.65000153,85.38999939,83.51000214,84.83999634,21204700
2023-03-23,83.55639648,86.51999664,88.37999725,85.26000214,87.68000031,26861400
2023-03-24,83.92338562,86.90000153,88.11000061,85.62999725,85.87000275,20332500
2023-03-27,83.17010498,86.12000275,88.22000122,85.5,87.12999725,18258300
2023-03-28,95.02946472,98.40000153,99.51000214,92.05999756,95.34999847,118875200
2023-03-29,96.49739838,99.91999817,101.3300018,96.27999878,97.58999634,53695000
2023-03-30,99.83888245,103.3799973,105.0500031,100.5,101.3399963,57780700
2023-03-31,98.67998505,102.1800003,103.5999985,101.1320038,102.8600006,28382600
2023-04-03,95.01981354,98.38999939,101.75,97.61000061,100.8899994,26888100
2023-04-04,97.27000427,100.7200012,101.4700012,97.26000214,98.94000244,26868400
2023-04-05,95.17433167,98.55000305,100.4499969,97.66000366,99.23999786,20117700
2023-04-06,99.22080994,102.7399979,103.2399979,98.26999664,98.52999878,26849200
2023-04-10,98.06191254,101.5400009,102.8300018,100.5899963,100.6200027,16308300
2023-04-11,96.34288788,99.76000214,102.5400009,99.19999695,102.4599991,19017700
2023-04-12,90.62565613,93.83999634,98.88999939,93.58000183,97.81999969,35516000
2023-04-13,92.87584686,96.16999817,97.19000244,95.09500122,95.875,24231700
2023-04-14,91.31134796,94.55000305,96.12000275,93.83999634,95.62999725,14098700
2023-04-17,93.11729431,96.41999817,97.23000336,95.48999786,96.73999786,15714100
2023-04-18,92.2191391,95.48999786,99.16999817,95.18099976,99.01999664,20672300
2023-04-19,90.28765106,93.48999786,94.81999969,92.94999695,94.59999847,18985200
2023-04-20,87.6318512,90.73999786,93.79000092,90.05000305,93.34999847,25533900
2023-04-21,86.07699585,89.12999725,90.19000244,88.30000305,89.95999908,23097300
2023-04-24,83.91371918,86.88999939,88.48000336,86.04000092,88.40000153,22757100
2023-04-25,80.07970428,82.91999817,85.69999695,82.21199799,85.31999969,36441300
2023-04-26,79.98313141,82.81999969,85.22000122,82.76000214,85.04000092,24983000
2023-04-27,81.57662201,84.47000122,84.63999939,82.63999939,83.06999969,24506800
2023-04-28,81.78908539,84.69000244,85.08000183,83.87000275,84.18000031,18109300
2023-05-01,81.27724457,84.16000366,85.27999878,83.77100372,84.15000153,12909200
2023-05-02,78.73731995,81.52999878,83.27999878,80.65399933,83.15000153,20689500
2023-05-03,78.68904114,81.48000336,82,80.48999786,81.30500031,17759400
2023-05-04,79.66443634,82.48999786,83.12999725,81.80000305,82.38999939,23773800
2023-05-05,80.36943817,83.22000122,83.37999725,82.02999878,82.75,17500600
2023-05-08,80.4563446,83.30999756,83.69999695,82.33999634,83.62999725,17392900
2023-05-09,79.40368652,82.22000122,82.66000366,80.15000153,80.54499817,13457400
2023-05-10,80.10868073,82.94999695,84.5,81.76999664,82.13999939,16868100
2023-05-11,84.87947083,87.88999939,88.48000336,84.81999969,85.43000031,28104200
2023-05-12,82.41680908,85.33999634,86.70999908,84.76000214,86.70999908,19031400
2023-05-15,85.31404877,88.33999634,88.40000153,85.83300018,87.12999725,23691200
2023-05-16,85.71967316,88.76000214,89.37000275,87.05999756,87.11000061,18177900
2023-05-17,87.57390594,90.68000031,91.43000031,88.01000214,88.45999908,27670700
2023-05-18,82.83207703,85.76999664,91,85,90.80999756,60258600
2023-05-19,81.10340881,83.98000336,85.19999695,83.48000336,83.84999847,21538500
2023-05-22,83.15078735,86.09999847,87.48000336,85.65000153,85.66999817,16951300
2023-05-23,80.04107666,82.87999725,84.97499847,82.69999695,84.16000366,19917800
